role,company_name,hiring_badge,location,duration,stipend_perMonth
Search Engine Optimization (SEO),Akrati Jewels Incorporation,Actively hiring,Jaipur,4 Months," 10,000 "
Content Writing,WEMATTER PXT Limited,Actively hiring,Mumbai,3 Months," 15,000 "
Logistics and Store Operations Executive,GS1India,Actively hiring,Mumbai,6 Months," 20,000-25,000 "
Administration,FitCru,Actively hiring,Mumbai,6 Months," 12,000-15,000 "
Business Development (Sales),Expertrons,Actively hiring,Mumbai                                                            (Hybrid),4 Months," 7,000-10,000 "
Digital Marketing,Netliz Technologies,Actively hiring,Indore,3 Months," 5,000-8,000 "
Client Servicing,G&T-Star Production And Entertainment Private Limited,Actively hiring,Noida,3 Months," 6,000-8,000 "
Administration,JRB Eventz,Actively hiring,Mumbai,4 Months," 12,000 "
Sales,BHK WORLD,Actively hiring,Thane,6 Months," 10,000  +  Incentives"
Search Engine Optimization (SEO),Infoware,Actively hiring,Ahmedabad                                                            (Hybrid),5 Months," 5,000 "
Business Research,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives"
Business Development (Sales),Candies Studio,Actively hiring,"Navi Mumbai, Mumbai                                                            (Hybrid)",6 Months," 15,000 "
Telecalling,Reflex Realty LLP,Actively hiring,Mumbai,3 Months," 5,000-10,000 "
Video Editing/Making,Flying Pigeon Solutions,Actively hiring,Jaipur,3 Months," 15,000 "
Customer Service/Customer Support,Ayurveda House Private Limited,Actively hiring,"Delhi, Ghaziabad, Gurgaon, Noida",3 Months," 10,000-12,000 "
Administration,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives"
Social Media Marketing,Scalar Tech Media Private Limited,Actively hiring,Mumbai,3 Months," 5,000-8,000 "
Travel Consultant,The Tarzan Way,Actively hiring,"Delhi, Noida                                                            (Hybrid)",3 Months," 5,000-10,000 "
Customer Service/Customer Support,Gift It Right,Actively hiring,Delhi,4 Months," 8,000-12,000 "
Warehouse Supervisor,Dough One Sources Private Limited,Actively hiring,"Sonipat, Haryana",6 Months," 12,000-15,000 "
Customer Success,LogisticsNow,Actively hiring,Mumbai,6 Months," 8,000  +  Incentives"
Celebs Management,Evine Global,Actively hiring,Mumbai                                                            (Hybrid),3 Months," 5,000  +  Incentives"
Content Writing,Relinns Technologies,Actively hiring,Mohali,6 Months," 8,000 "
Content Writing,Infoware,Actively hiring,Ahmedabad                                                            (Hybrid),4 Months," 5,000 "
Sales,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives"
Social Media Marketing,Web Dakaar Digital Consultancy LLP,Actively hiring,"Thane, Kalyan, Mumbai",5 Months," 6,000 "
Script Writer,Persist Ventures,Actively hiring,Mumbai                                                            (Hybrid),3 Months," 12,500 "
Academic Curriculum Writer - Digital Marketing,IIDE Education Private Limited,Actively hiring,Mumbai,6 Months," 5,000 "
Content Writing,Olivecloud Tech Pvt Ltd,Actively hiring,Mumbai,6 Months," 8,000 "
Customer Chat Support,Ayurveda House Private Limited,Actively hiring,"Delhi, Ghaziabad, Gurgaon, Noida",3 Months," 10,000-12,000 "
Content Writing,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives"
Brand Management,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives"
Brand Management,GREENARYWORLD.COM,Actively hiring,Mumbai,2 Months," 2,500 "
Search Engine Optimization (SEO),Olivecloud Tech Pvt Ltd,Actively hiring,Mumbai,3 Months," 7,500 "
Video Editing/Making,The Preface,Actively hiring,Mumbai,3 Months," 12,000 "
Influencer Marketing,Break The Code,Actively hiring,Mumbai,3 Months," 7,000 "
Market Research,WhizJuniors,Actively hiring,Mumbai,6 Months," 10,000 "
Business Development (Sales),Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives"
Digital Marketing,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives"
Media & Public Relations (PR),Viewpoint Public Relations,Actively hiring,Mumbai,6 Months," 10,000 "
Social Media Marketing,Olivecloud Tech Pvt Ltd,Actively hiring,Mumbai,6 Months," 8,000 "
Video Editing/Making,Olivecloud Tech Pvt Ltd,Actively hiring,Mumbai,6 Months," 10,000 "
Influencer Marketing,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives"
Business Development (Sales),WashedUp,Actively hiring,"Thane, Navi Mumbai, Mumbai",2 Months," 2,000  +  Incentives"
Market Research,Traya Health,Actively hiring,Mumbai,3 Months," 15,000-30,000 "
Content Writing,PK Online Ventures Private Limited,Actively hiring,Gurgaon,3 Months," 6,000-10,000 "
Digital Marketing,Reflex Realty LLP,Actively hiring,Mumbai,6 Months," 5,000-8,000 "
Business Development,Relinns Technologies,Actively hiring,"Chandigarh, Ludhiana, Mohali, Punjab",6 Months," 8,000 "
Assistant To Founder,IOFTHEANCIENT,Actively hiring,Mumbai,2 Months," 10,000 "
Social Media Manager,Shashwat Singhal,Actively hiring,Prayagraj,6 Months," 5,000 "
Content Writing,Catalyst Crew,Actively hiring,Mumbai                                                            (Hybrid),6 Months," 2,000  +  Incentives"
Social Media Manager,Nazar Battu Productions Private Limited,Actively hiring,Dehradun,3 Months," 5,000 "
Loan Officer,ALSIRAAT,Actively hiring,"Thane, Mumbai",6 Months," 10,000 "
Marketing,Wiishbox Consumer Private Limited,Actively hiring,Mumbai,3 Months," 10,000-15,000 "
Motion Graphics,Catalyst Crew,Actively hiring,Mumbai,6 Months," 10,000 "
E-Commerce Catalog Management,BuySupplies,Actively hiring,Ahmedabad,3 Months," 10,000 "
Video Editor,The Souled Store,Actively hiring,Mumbai                                                            (Hybrid),3 Months," 10,000 "
Database Building/Management,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives"
Digital Marketing,Marcken Consulting LLP,Actively hiring,Ahmedabad,6 Months," 8,000 "
Customer Service/Customer Support,CarryPro,Actively hiring,"Delhi, Noida",3 Months," 15,000 "
Customer Relationship Mangement,Gloval International,Actively hiring,Mumbai,1 Month," 8,000 "
Digital Marketing Assistant,Toposel,Actively hiring,Mumbai,6 Months," 10,000 "
Operations Assistant,Tuffman India Private Limited,Actively hiring,Chandigarh                                                            (Hybrid),6 Months," 12,000 "
Social Media Marketing,WEMATTER PXT Limited,Actively hiring,Mumbai,3 Months," 15,000 "
Project Management,FynTune Solution Private Limited,Actively hiring,"Thane, Navi Mumbai, Vashi, Belapur, Mumbai, Turbhe, Panvel",6 Months," 12,000-18,000 "
Digital Marketing,Think EBikeGO Private Limited,Actively hiring,Mumbai,3 Months," 10,000 "
Digital Marketing,WhizJuniors,Actively hiring,Mumbai,6 Months," 14,000 "
Digital Marketing,Scalar Tech Media Private Limited,Actively hiring,Mumbai,3 Months," 8,000-10,000 "
Food Techonology,PatilKaki,Actively hiring,Navi Mumbai,3 Months," 10,000 "
Content Writing,Grexa AI Private Limited,Actively hiring,Navi Mumbai,3 Months," 5,000-10,000 "
Administration,FableStreet,Actively hiring,Gurgaon,3 Months," 10,000 "
Customer Relationship & Sales,Unified Sports,Actively hiring,Delhi                                                            (Hybrid),6 Months," 8,000-10,000 "
Food Production Management,PatilKaki,Actively hiring,Navi Mumbai,3 Months," 10,000 "
Telecalling,Ayurvedam,Actively hiring,Mumbai,6 Months," 10,000 "
Videography,Ostello India Private Limited,Actively hiring,Delhi,4 Months," 8,000-15,000 "
Business Development (Sales),Indusmile Industries,Actively hiring,"Delhi, Greater Noida, Noida",3 Months," 6,000  +  Incentives"
Business Development (Sales),Eqaro Surety Private Limited,Actively hiring,"Delhi, Gurgaon, Greater Noida, Noida",3 Months," 8,000-15,000 "
Social Media Marketing,The Prism Paradox,Actively hiring,Mumbai                                                            (Hybrid),6 Months," 15,000 "
Anchoring,Small Box Office,Actively hiring,Delhi                                                            (Hybrid),6 Months," 3,000 "
E-Commerce,PK Online Ventures Private Limited,Actively hiring,Gurgaon,6 Months," 5,000-8,000 "
Cinematography,Thebrothing,Actively hiring,Noida,6 Months," 8,000 "
Video Editing/Making,Unified Sports,Actively hiring,Delhi                                                            (Hybrid),6 Months," 7,000-10,000 "
Trainee - Social Media,BookMyShow,Actively hiring,Mumbai,6 Months," 7,500 "
Video Editing/Making,GoMechanic,Actively hiring,Gurgaon,3 Months," 10,000-12,000 "
Partner Onboarding,Nivesh,Actively hiring,Noida,6 Months," 10,000 "
Cinematography,Nazar Battu Productions Private Limited,Actively hiring,"Delhi, Noida",6 Months," 5,000-7,000 "
Video Editing/Making,FootballGeek,Actively hiring,Navi Mumbai,3 Months," 7,500-10,000 "
Field Sales,WellnessZ,Actively hiring,Delhi,3 Months," 5,000  +  Incentives"
Video Editing/Making,Thebrothing,Actively hiring,Noida,6 Months," 10,000 "
Cinematography,Small Box Office,Actively hiring,Delhi,6 Months," 7,500 "
Trainee - Live Entertainment (Activities),BookMyShow,Actively hiring,"Mumbai, Noida",6 Months," 7,500 "
Research (Economics),Medius Technologies Private Limited,Actively hiring,Mumbai                                                            (Hybrid),4 Months," 6,500 "
Social Media Marketing,Catalyst Crew,Actively hiring,Mumbai                                                            (Hybrid),6 Months," 5,000 "
Video Editing/Making,Accredian,Actively hiring,Gurgaon                                                            (Hybrid),6 Months," 15,000 "
Chemistry,JS Water Energy Life Company,Actively hiring,Gurgaon,4 Months," 18,000 "
NGO Coordinator,Hamari Pahchan NGO,Actively hiring,"Delhi, South",3 Months," 2,000-6,000 "
Community Management,WEMATTER PXT Limited,Actively hiring,Mumbai,3 Months," 15,000 "
Video Editing/Making,MHLondon,Actively hiring,Noida,3 Months," 12,000 "
Art Gallery Film Associate,APRE Art House,Actively hiring,Mumbai,3 Months," 5,000 "
Social Media Marketing,Indusmile Industries,Actively hiring,Noida,3 Months," 5,000-8,000 "
Operations,Supreme Forex (Supreme Securities Limited),Actively hiring,Delhi,6 Months," 20,000  +  Incentives"
Subject Matter Expert (SME),Unimonks,Actively hiring,Delhi,3 Months," 4,500-13,000 "
Telecalling For Edtech Startup At Bhopal,Lawtech,Actively hiring,Bhopal,3 Months," 10,000-12,000 "
Video Editing/Making,RYVR Immersive,Actively hiring,Mumbai,6 Months," 15,000 "
Business Development (Sales),VP Recruitment Services,Actively hiring,Pune,2 Months," 5,000 "
Content Writing,Stirring Minds,Actively hiring,Delhi,3 Months," 7,000 "
Business Development (Sales),Ombre Bliss,Actively hiring,Gurgaon                                                            (Hybrid),4 Months," 10,000  +  Incentives"
Business Development (Sales),Gazelles Management Consultancy,Actively hiring,Noida                                                            (Hybrid),6 Months," 15,000-20,000 "
Marketing & Operations,Internshala,Actively hiring,Gurgaon,6 Months," 18,000 "
Business Development (Sales),Grivaa Consultancy Services,Actively hiring,Delhi                                                            (Hybrid),3 Months," 5,000-10,000 "
Digital Marketing,Laxmi Traders,Actively hiring,Noida,4 Months," 8,000-12,000 "
Campaign Delivery,Internshala,Actively hiring,Gurgaon,2 Months," 18,000 "
Fashion Design And Merchandising,K.S.E. INC,Actively hiring,Mumbai,3 Months," 15,000 "
Social Media Marketing,The Tarzan Way,Actively hiring,"Delhi, Noida                                                            (Hybrid)",3 Months," 5,000 "
Business Development (Sales),Polygon Pixels LLP,Actively hiring,Mumbai,4 Months," 12,000-20,000 "
Business Development (Sales),Career-Domain,Actively hiring,Pune,2 Months," 20,000 "
Business Development (Sales),Recycle Plastics,Actively hiring,"Delhi, Gurgaon",6 Months," 4,000-10,000 "
Business Development (Sales),Prociti,Actively hiring,Pune,3 Months," 15,000 "
Graphic Design,Shashwat Singhal,Actively hiring,"Allahabad, Prayagraj",3 Months," 7,000 "
Graphic Design,Heterize Infotech Private Limited,Actively hiring,Indore,3 Months," 7,000-10,000 "
Fashion Design,Sadhana Valia,Actively hiring,Mumbai,3 Months," 8,000-15,000 "
Fashion Design,Valkyre Clothing,Actively hiring,Mumbai,6 Months," 8,000-12,000 "
Fashion Design,Stareye Media & Entertainment Private Limited,Actively hiring,Noida,4 Months," 5,000-8,000 "
Management trainee,Esskay International,Actively hiring,Mumbai,6 Months," 15,000-18,000 "
Operations,Earthfit Solutions Private Limited,Actively hiring,Pune,6 Months," 15,000 "
Graphic Design,Kheoni Ventures Private Limited,Actively hiring,Indore,3 Months," 5,000-12,000 "
Customer Service/Customer Support,HighQ Tourism,Actively hiring,"Faridabad, Delhi, Noida                                                            (Hybrid)",6 Months," 7,000 "
Fashion Design,Impresio Studio,Actively hiring,Noida,3 Months," 10,000 "
Performance Marketing,Digital Factorys,Actively hiring,"Pune, Pimpri-Chinchwad",6 Months," 15,000 "
E-commerce Content & Operations Specialist,EKOMN INDIA PRIVATE LIMITED,Actively hiring,Gurgaon,6 Months," 8,000  +  Incentives"
Sales,Kausheyah,Actively hiring,Work from home,6 Months," 15,000  +  Incentives"
Google Ads Specialist,Zbotic,Actively hiring,Pimpri-Chinchwad,6 Months," 5,000-8,000 "
Product Marketing,Optimum Orthocare Private Limited,Actively hiring,"Pune, Pimpri-Chinchwad                                                            (Hybrid)",6 Months," 8,000-12,000 "
Video Editing/Making,NayePankh Foundation,Actively hiring,Work from home,3 Months,Unpaid
Social Media,SwasthAham,Actively hiring,Work from home,6 Months," 1,000 "
Business Development (Sales),Clippet Technolgies Private Litimed,Actively hiring,Bangalore,3 Months," 5,000  +  Incentives"
Area Manager,NestAway Technologies Private Limited,Actively hiring,Bangalore,6 Months," 8,000 "
Video Editing/Making,Jagath Venkat,Actively hiring,Bangalore                                                            (Hybrid),4 Months," 10,000 "
Motion Graphics,Zinnov Management Consulting,Actively hiring,Bangalore                                                            (Hybrid),3 Months," 20,000-25,000 "
Content Creation (Gaming/Esports),The World Of Battle,Actively hiring,"Navi Mumbai, Mumbai",3 Months," 5,000 "
Operations,Prost Technologies Private Limited (OneAssure),Actively hiring,Bangalore,3 Months," 15,000 "
Sales,Trade Brains,Actively hiring,Bangalore,3 Months," 7,000-8,000 "
Content Writing,Peoplebox.ai,Actively hiring,Bangalore,2 Months," 15,000 "
Pastry Assistant Chef,German BrezelHaus Bakery&Bistro,Actively hiring,Bangalore,3 Months," 10,000 "
Technical Content Writer,Pickcel,Actively hiring,Bangalore,6 Months," 15,000 "
Content Writing,Auctus Infometrics Private Limited,Actively hiring,Bangalore,3 Months," 10,000 "
Performance Marketing,MiM-Essay,Actively hiring,Delhi,3 Months," 15,000 "
Pre Sales,Meragi,Actively hiring,Bangalore,3 Months," 15,000-20,000 "
Brand Management,SuperTails,Actively hiring,Bangalore,6 Months," 15,000 "
Marketing,Trebound,Actively hiring,Bangalore,3 Months," 6,000-10,000 "
Sales,I2global School,Actively hiring,Bangalore,3 Months," 15,000 "
Business Development (Sales),Trade Brains,Actively hiring,Bangalore,3 Months," 7,000-8,000 "
Human Resources (HR),PassionMojo,Actively hiring,Work from home,6 Months," 1,000 "
Event Management,Goodera,Actively hiring,Bangalore,6 Months," 20,000 "
Founders Office,Magna Hire,Actively hiring,Bangalore,3 Months," 15,000 "
Video Editing/Making,Yes Property,Actively hiring,Bangalore,3 Months," 10,000 "
Video Editing/Making,Career-Domain,Actively hiring,Pune                                                            (Hybrid),3 Months," 10,000 "
Marketing,Sanatan Organic,Actively hiring,Bangalore                                                            (Hybrid),4 Months," 5,000-10,000 "
Business Development (Sales),Techyguide OPC Private Limited,Actively hiring,Bangalore,3 Months," 7,000 "
Administration,OmniNeura AI Technologies Pvt Ltd,Actively hiring,Bangalore                                                            (Hybrid),3 Months," 10,000 "
Business Development (Sales),Kkonnect.io,Actively hiring,"Bangalore, Mumbai",3 Months," 10,000 "
Business Development (Sales),TERN,Actively hiring,"Delhi, Bangalore                                                            (Hybrid)",3 Months," 15,000 "
Hot Kitchen Assistant Chef,German BrezelHaus Bakery&Bistro,Actively hiring,Bangalore,3 Months," 8,000 "
Content Writing,Techyguide OPC Private Limited,Actively hiring,Bangalore                                                            (Hybrid),3 Months," 5,000 "
Business Development (Sales),Pibit.ai Limited,Actively hiring,Bangalore,6 Months," 20,000 "
Business Development (Sales),Edumerge Solutions Private Limited,Actively hiring,Bangalore,3 Months," 20,000 "
Steward/ Waiter Intern,German BrezelHaus Bakery&Bistro,Actively hiring,Bangalore,3 Months," 8,000 "
Marketing,SmartQ,Actively hiring,Bangalore,3 Months," 10,000 "
Graphic Design,Scalar Tech Media Private Limited,Actively hiring,Mumbai,3 Months," 10,000-15,000 "
E-commerce Executive,Vision 360 Security,Actively hiring,"Mangaluru, Hubli, Bangalore                                                            (Hybrid)",2 Months," 5,000-8,000 "
Social Media Marketing,CraveDigi Advisors OPC Pvt. Ltd.,Actively hiring,"Bangalore, Karnal, Karnakuppe, Karnataka, Karnatakakodi                                                            (Hybrid)",1 Month," 2,000 "
International Business Development,Medetronix Labs,Actively hiring,Bangalore,6 Months," 5,000-15,000 "
Inside Sales/Telecaller Executive,Happitude Digital Solutions Private Limited,Actively hiring,Bangalore                                                            (Hybrid),6 Months," 15,000 "
Administration,HEXACARE PHARMACEUTICALS PVT LTD,Actively hiring,Bangalore,3 Months," 8,000-12,000 "
Business Development (Sales),DevTown,Actively hiring,Bangalore,6 Months," 10,000-15,000 "
Search Engine Optimization (SEO),Qyuki Digital Media Private Limited,Actively hiring,"Mangaluru, Bangalore, Hubballi, Karnataka                                                            (Hybrid)",3 Months," 7,000 "
Business Development (Sales),Webmobi,Actively hiring,Bangalore                                                            (Hybrid),3 Months," 5,000  +  Incentives"
Social Media Marketing,RankItRight Media,Actively hiring,Bangalore,6 Months," 25,000 "
E-commerce Operations,Varen E-Commerce Private Limited,Actively hiring,Bangalore,2 Months," 10,000-12,000 "
Mass com,Pro India,Actively hiring,Gurgaon                                                            (Hybrid),6 Months," 5,000  +  Incentives"
Marketing Specialist (On- Field),Pilot Machinery Corporation,Actively hiring,"Bangalore, Karnataka",3 Months," 10,000-17,000 "
Operations Executive,GEMA Education Technology Private Limited,Actively hiring,Noida,3 Months," 8,000-12,000 "
Content Writing,Goodera,Actively hiring,Bangalore,6 Months," 15,000 "
Social Media,Meragi,Actively hiring,Bangalore,3 Months," 15,000 "
Inside Sales,Legit Farms,Actively hiring,Bangalore,6 Months," 10,000 "
Intern-Barista,German BrezelHaus Bakery&Bistro,Actively hiring,Bangalore,3 Months," 10,000 "
Sales And Marketing,Trade Brains,Actively hiring,Bangalore,3 Months," 10,000 "
Business Development (Sales),Intuitor Softtech Services Private Limited,Actively hiring,Bangalore,6 Months," 15,000 "
Social Media,Unified Sports,Actively hiring,Delhi                                                            (Hybrid),6 Months," 5,000-8,000 "
Business Development (Sales),RoboManthan Private Limited,Actively hiring,Bangalore                                                            (Hybrid),3 Months," 5,000-12,000 "
Content Writing,GrowthSpree,Actively hiring,Noida,6 Months," 10,000 "
Content Writing,Journey Routers,Actively hiring,Delhi,6 Months," 10,000 "
Business Development (Sales),Intrainz Eductech,Actively hiring,Bangalore,3 Months," 17,000 "
Logistics And Operations,Ayati Devices Private Limited,Actively hiring,Bangalore,3 Months," 10,000-20,000 "
Graphic Design,Olivecloud Tech Pvt Ltd,Actively hiring,Mumbai,6 Months," 10,000 "
Female Personal Assistant Intern,Big Bulls,Actively hiring,Bangalore,6 Months," 10,000 "
Human Resources (HR),Relinns Technologies,Actively hiring,Mohali,6 Months," 8,000 "
HR,Kheoni Ventures Private Limited,Actively hiring,Indore,3 Months," 5,000-7,000 "
Graphic Design,Zinnov Management Consulting,Actively hiring,Bangalore                                                            (Hybrid),6 Months," 20,000-25,000 "
Human Resources (HR),Xtrim Global Solutions Private Limited,Actively hiring,Indore,6 Months," 15,000 "
Social Media Marketing,Vystrit Designs,Actively hiring,Bangalore,3 Months," 16,000 "
Trainee - Graphic Design,BookMyShow,Actively hiring,Mumbai,6 Months," 7,500 "
Social Media,OpenHouse,Actively hiring,Bangalore,2 Months," 15,000 "
Creative Design,GetREAL,Actively hiring,Bangalore                                                            (Hybrid),3 Months," 20,000 "
Interior Design,Visual Mantra,Actively hiring,Mumbai,1 Month," 5,000-7,000 "
Video Editing/Making,Journey Routers,Actively hiring,Delhi,6 Months," 15,000 "
Graphic Design,Flying Pigeon Solutions,Actively hiring,Jaipur,3 Months," 10,000 "
Content Writing,Aikyam Fellows,Actively hiring,"Kochi, Ernakulam                                                            (Hybrid)",2 Months," 10,000 "
Content Writing,Diploy,Actively hiring,Noida                                                            (Hybrid),6 Months," 10,000 "
Digital Marketing,Variety Innovation Venture Private Limited,Actively hiring,Gurgaon,3 Months," 5,000-10,000 "
Graphic Design,Wolffkraft Design Studio,Actively hiring,Bangalore,3 Months," 15,000 "
Business Strategy,Supreme Forex (Supreme Securities Limited),Actively hiring,Delhi                                                            (Hybrid),4 Months," 22,000 "
Youth Facilitator,Pawzz,Actively hiring,Work from home,3 Weeks," 1,500-10,000 "
Graphic Design,Intugine Technologies Private Limited,Actively hiring,Bangalore,4 Months," 15,000 "
Graphic Design,Beeyond Tech,Actively hiring,Mumbai,3 Months," 8,000-15,000 "
Social Studies And EVS Subject Author,Paradise Solutions,Actively hiring,"Kharar, Mohali, Chandigarh                                                            (Hybrid)",6 Months," 8,000-10,000 "
Graphic Design,Brandshark,Actively hiring,Bangalore,3 Months," 10,000 "
Business Development (Sales),Rentease International LLP,Actively hiring,"Delhi, Bangalore, Navi Mumbai, Mumbai, Gandhinagar",3 Months," 5,000 "
Graphic Design,ANK Digital Media,Actively hiring,Delhi,6 Months," 5,000-12,000 "
Graphic Design,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives"
Graphic Design,Enseur,Actively hiring,Delhi,3 Months," 3,000-10,000 "
Graphic Design,Ace 360,Actively hiring,Mumbai,6 Months," 3,000-7,500 "
Graphic Design,Techyguide OPC Private Limited,Actively hiring,Bangalore,3 Months," 5,000 "
Graphic Design,Walnut Publication,Actively hiring,"Faridabad, Delhi, Ghaziabad, Gurgaon, Greater Noida, Noida",2 Months," 5,000 "
Graphic Design,Pro India,Actively hiring,Gurgaon,4 Months," 5,000 "
Photography,Thebrothing,Actively hiring,Bangalore,3 Months," 10,000 "
Procurement Marketing,Inorbvict Healthcare India Private Limited,Actively hiring,"Pune, Pimpri-Chinchwad, Hinjawadi",3 Months," 6,000 "
Digital Marketing,Valufocus Corporate Services Private Limited,Actively hiring,Bangalore,3 Months," 5,000-7,000 "
Human Resources (HR),Sonam  Geda,Actively hiring,Indore,1 Month," 5,000-7,000 "
Marketing,Dynamic World,Actively hiring,"Indore, Pune, Mumbai",6 Months," 5,000 "
Video Editing/Making,Sara Sharma,Actively hiring,Delhi                                                            (Hybrid),6 Months," 8,000-12,000 "
Psychology,Career-Domain,Actively hiring,Nagpur,3 Months," 5,000-10,000 "
Graphic Designer,RankItRight Media,Actively hiring,Bangalore,6 Months," 25,000 "
Startup Community Manager,Tutedude,Actively hiring,Work from home,3 Months," 2,000 "
Operations And Strategy,EkStep,Actively hiring,Bangalore,6 Months," 14,000-20,000 "
Graphic Design,Intelligentia Labs Private Limited,Actively hiring,Greater Noida                                                            (Hybrid),2 Months," 5,000-15,000 "
Human Resources (HR),Heterize Infotech Private Limited,Actively hiring,Indore,3 Months," 3,000-5,000 "
Digital Marketing,WEMATTER PXT Limited,Actively hiring,Mumbai,3 Months," 15,000 "
Content Writing,Justwords Consultants,Actively hiring,Gurgaon,6 Months," 12,000-15,000 "
Assistant Director,Nazar Battu Productions Private Limited,Actively hiring,"Delhi, Noida",6 Months," 5,000-7,000 "
Youtube Content Manager,Build Fast With AI,Actively hiring,Bangalore                                                            (Hybrid),1 Month," 7,500  +  Incentives"
Community Management,PassionMojo,Actively hiring,Work from home,6 Months,Unpaid
Talent Acquisition,IIDE Education Private Limited,Actively hiring,Mumbai,6 Months," 7,500 "
Social Media Marketing,Enseur,Actively hiring,Delhi,3 Months," 3,000-8,000 "
Video Editing/Making,Aero Armour,Actively hiring,Kolkata,4 Months," 5,000-10,000 "
Video Editing/Making,Internshala,Actively hiring,Gurgaon,6 Months," 18,000 "
Business Development (Real Estate),BREAM Solutions Pvt. Ltd.,Actively hiring,Bangalore,2 Months," 10,000  +  Incentives"
Digital Marketing,SANVER INDIA PRIVATE LIMITED,Actively hiring,Mumbai,3 Months," 25,000-30,000 "
Graphic Design,IoTExpress Private Limited,Actively hiring,Bangalore                                                            (Hybrid),6 Months," 15,000 "
Social Media Manager,International Council For Circular Economy,Actively hiring,Delhi                                                            (Hybrid),6 Months,Unpaid
Interior Design,Imperio Railing Systems,Actively hiring,Mumbai,3 Months," 5,000 "
Operations,Probo,Actively hiring,"Delhi, Gurgaon",6 Months," 15,000 "
Content Development (Mathematics),Yellow Chapter - Entrepreneurial Journey,Actively hiring,Gurgaon                                                            (Hybrid),3 Months," 60,000 "
Telecalling,Bonn Tonn,Actively hiring,Kolkata,3 Months," 7,000 "
Marketing,Bonn Tonn,Actively hiring,Kolkata,3 Months," 7,000  +  Incentives"
Graphic Design,Sipani Properties (P) Limited,Actively hiring,Bangalore,2 Months," 10,000-25,000 "
Operations,Muskurahat Foundation,Actively hiring,Mumbai,3 Months," 10,000 "
Talent Acquisition,Catalyst Crew,Actively hiring,Mumbai,6 Months," 3,000  +  Incentives"
Talent Acquisition,Expertrons,Actively hiring,Mumbai                                                            (Hybrid),3 Months," 7,000-10,000 "
Graphic Design,Relinns Technologies,Actively hiring,"Chandigarh, Delhi, Ludhiana, Mohali, Haryana, Punjab, Uttar Pradesh, Himachal Pradesh",6 Months," 8,000 "
Tally Accountant,Shashwat Singhal,Actively hiring,Prayagraj,6 Months," 10,000-12,000 "
Client Servicing,Internshala,Actively hiring,Gurgaon,6 Months," 18,000 "
Store Management Intern,Arcatron Mobility Private Limited,Actively hiring,Pune,6 Months," 20,000 "
Hotel Management (Food & Beverage Production),Muan Food Tech Private Limited,Actively hiring,Chennai,6 Months," 12,000 "
Sound Engineer - Composer,The Bangalore Studio The Nation's Pride,Actively hiring,Bangalore,3 Months," 10,000 "
B2B SaaS Sales,Agaram Technologies Pvt Ltd,Actively hiring,Chennai,4 Months," 10,000 "
Telecalling,Digital Factorys,Actively hiring,Pimpri-Chinchwad,6 Months," 7,000 "
Digital Marketing,Bonn Tonn,Actively hiring,Kolkata,3 Months," 10,000 "
Sales And Marketing Associate,Pawzz,Actively hiring,Gurgaon                                                            (Hybrid),4 Months," 15,000-20,000 "
Equity Analyst,SDSR Consultancy Services Private Limited,Actively hiring,Kolkata,1 Month," 10,000-15,000 "
Human Resources (HR),Cynergi,Actively hiring,Mumbai,6 Months," 3,000 "
Graphic Design,Bonn Tonn,Actively hiring,Kolkata,3 Months," 10,000 "
Database Building/Management,Avaesa,Actively hiring,Chennai,2 Months," 10,000 "
Retention Executive,Arcatron Mobility Private Limited,Actively hiring,Pune,3 Months," 20,000 "
Market Research,ReportsInsights Consulting Pvt Ltd,Actively hiring,Pune,6 Months," 10,000 "
Content Writing,Enseur,Actively hiring,Delhi,3 Months," 5,000-7,500 "
Content Writing,Qriocity Ventures Private Limited,Actively hiring,"Chennai, Kattankulathur, Maraimalai Nagar, Chengalpattu, Tambaram Sanatorium",3 Months," 15,000-25,000 "
Social Media Marketing,PK Online Ventures Private Limited,Actively hiring,Gurgaon,6 Months," 5,000-8,000 "
Photography,Aikyam Fellows,Actively hiring,Kochi,2 Months," 10,000 "
NEET Physics Online Tutor (Malayalam Speaking),Narigiri's Connect To Universe Private Limited,Actively hiring,Work from home,6 Months," 1,000-10,000 "
Content Writing,VirtuBox Infotech Private Limited,Actively hiring,Noida,6 Months," 10,000 "
Interior Design,"Bastion, House Of Design",Actively hiring,Gurgaon,6 Months," 5,000-7,000 "
Field Sales,Sports For All,Actively hiring,Hyderabad,3 Months," 15,000-20,000 "
Video Editing/Making,SR Edu Technologies,Actively hiring,Hyderabad,1 Month," 5,000-8,000 "
Event Executive Specialist,Snapbot,Actively hiring,Hyderabad,2 Months," 10,000-15,000 "
