role,company_name,hiring_badge,location,duration,stipend_perMonth
Project Management Officer,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months," 1,000 "
UI/UX Design,"Sprung Inc (Los Angeles, United States)",Actively hiring,Work from home,6 Months," 25,000 "
Cyber Security,TwinLine Business Solutions Private Limited,Actively hiring,Gurgaon,3 Months," 15,000 "
Assistant Sales Manager (Work With IITians Edtech Startup Australia),Medventures,Actively hiring,Work from home,3 Months," 1,000  +  Incentives"
Social Media Marketing,Vidhyashala,Actively hiring,Work from home,1 Month," 3,000  +  Incentives"
Social Work,Kshitiksha Foundation,Actively hiring,Work from home,1 Month,Unpaid
Influencer Marketing,Vidhyashala,Actively hiring,Work from home,1 Month," 3,000  +  Incentives"
MS Excel Advance Expert,Flying Pigeon Solutions,Actively hiring,Jaipur,2 Months," 2,000-5,000 "
Insurance Content Creator,RK & Co,Actively hiring,Work from home,2 Months," 2,500 "
Data Entry,Highway Delite,Actively hiring,Work from home,6 Months," 1,000 "
Full Stack Development,Alphanumeric Ideas Private Limited,Actively hiring,Mohali,6 Months," 6,000 "
Human Resource (HR),The Matrix Labs,Actively hiring,Work from home,3 Months," 10,000-15,000 "
Content Marketing,Kshitiksha Foundation,Actively hiring,Work from home,1 Month,Unpaid
Content Writing,Kshitiksha Foundation,Actively hiring,Work from home,1 Month,Unpaid
Market Research,CavinKare Private Limited,Actively hiring,"Chennai, Delhi, Kolkata, Pune, Bangalore, Hyderabad, Mumbai",3 Weeks," 3,500-5,000 /week"
Social Work,Pawzz,Actively hiring,Work from home,4 Weeks," 1,500-10,000 "
Mutual Fund Analysis,RK & Co,Actively hiring,Work from home,2 Months," 6,000 "
Volunteering (VOL),Pawzz,Actively hiring,Work from home,4 Weeks," 1,500-10,000 "
Recruitment,Pawzz,Actively hiring,Work from home,6 Months," 10,000-12,000 "
Teaching - Coding,GEMA Education Technology Private Limited,Actively hiring,Work from home,2 Months," 1,000-2,000 "
Crowdfunding (CF),Pawzz,Actively hiring,Work from home,4 Weeks," 1,500-10,000 "
Social Impact,Pawzz,Actively hiring,Work from home,4 Weeks," 1,500-10,000 "
Digital Marketing,Social Dot Hub,Actively hiring,Delhi,6 Months," 20,000 "
Founders Office,Alore,Actively hiring,Work from home,6 Months," 5,000-10,000 "
React Native Development (iOS APP Development),Across The Globe (ATG),Actively hiring,Work from home,6 Months," 4,000 "
Marketing,InDreamer,Actively hiring,"Kozhikode, Kannur                                                            (Hybrid)",6 Months," 12,000 "
Business Development (Sales),QuadB Tech,Actively hiring,Ludhiana,6 Months," 15,000-20,000 "
Content Writing (Work From Office),Bilateral Solutions Private Limited,Actively hiring,Mandi,6 Months," 10,000-15,000 "
Key Account Executive (Sales),Bilateral Solutions Private Limited,Actively hiring,Mandi,6 Months," 12,000-18,000 "
Business Development (Sales),Tech Career,Actively hiring,Jaipur,6 Months," 6,000 "
Digital Marketing (Work From Office),Bilateral Solutions Private Limited,Actively hiring,Mandi,6 Months," 15,000-18,000 "
Supply Chain & Logistics Operations,Bonn Tonn,Actively hiring,Kolkata,2 Months," 7,000 "
Business Development (Sales),Edhusk,Actively hiring,Jaipur,2 Months," 8,000-10,000 "
Graphic Design,STEMpedia,Actively hiring,Ahmedabad,6 Months," 10,000-15,000 "
Business Strategy,Social Dot Hub,Actively hiring,Delhi,3 Months," 20,000 "
Content Creater For Reels,Sid&co,Actively hiring,Jaipur,6 Months," 10,000-15,000 "
Business Development (Sales),TOSSIDO,Actively hiring,Noida,3 Months," 5,000 "
Content Operations,Saregama India Limited,Actively hiring,Mumbai,6 Months," 5,000-10,000 "
Content Writing,OutreachMani,Actively hiring,Jaipur,3 Months," 10,000 "
Video Editing/Making,Social Dot Hub,Actively hiring,Delhi,6 Months," 10,000-15,000 "
Marketing,Hungama Digital Media Entertainment Private Limited,Actively hiring,Mumbai,3 Months," 5,000 "
Interior Design,Southern Decors,Actively hiring,Chennai,6 Months," 12,000 "
Business Development (Sales),Pro India,Actively hiring,Gurgaon,6 Months," 5,000  +  Incentives"
Marketing,University Living Accommodation Private Limited,Actively hiring,Noida,2 Months," 15,000 "
Inside Sales,University Living Accommodation Private Limited,Actively hiring,Noida,3 Months," 12,000 "
Video Editing/Making,Fabulous Media Private Limited,Actively hiring,Gurgaon,6 Months," 5,000-15,000 "
E-Commerce Catalog Management,Tradexa Technologies Private Limited,Actively hiring,Pune,6 Months," 10,000-12,000 "
E-Commerce Sales,Avaesa,Actively hiring,Chennai,3 Months," 10,000 "
Sales,BnB India,Actively hiring,Mumbai,6 Months," 10,000  +  Incentives"
Telecalling,Zimeshare Technologies (OPC) Private Limited,Actively hiring,Noida,2 Months," 8,000 "
Sales Consultant,Supreme Universal,Actively hiring,Mumbai,6 Months," 25,000 "
Marketing,Monkhub,Actively hiring,Gurgaon,6 Months," 6,000-10,000 "
Retail Management Trainee,Multiplier Brand Solutions Private Limited,Actively hiring,Mumbai,3 Months," 15,000 "
Business Development (Sales),Monkhub,Actively hiring,Gurgaon,6 Months," 6,000-10,000 "
Content Writing,GoMechanic,Actively hiring,Gurgaon,3 Months," 10,000 "
Project Management,Fabulous Media Private Limited,Actively hiring,Gurgaon,6 Months," 5,000-15,000 "
Video Editing/Making,MahaVastu Corporation LLP,Actively hiring,Noida,3 Months," 15,000 "
Business Development (Sales),VentureBlick India Private Limited,Actively hiring,Pune                                                            (Hybrid),6 Months," 15,000 "
Customer Support,Hungama Digital Media Entertainment Private Limited,Actively hiring,Noida,3 Months," 5,000 "
Digital Marketing,The Affordable Organic Store,Actively hiring,Hyderabad,6 Months," 6,000 "
Business Development (Sales),Akaaro,Actively hiring,Gurgaon                                                            (Hybrid),1 Month," 2,000 "
Business Development (Sales),FoodPe,Actively hiring,Gurgaon,3 Months," 12,500-17,500 "
Compliance Coordinator,IB Cricket,Actively hiring,Hyderabad,6 Months," 15,000-20,000 "
Content Marketer,Tealfeed,Actively hiring,Gurgaon,3 Months," 12,000-18,000 "
Graphic Design,UrbanSpell B2B Marketing Agency,Actively hiring,Pune,6 Months," 6,000 "
Business Development (Sales),Fabulous Media Private Limited,Actively hiring,Gurgaon,6 Months," 5,000-15,000 "
Interior Design,Nettle Creek Interiors,Actively hiring,Pune,6 Months," 5,000-10,000 "
Digital Marketing,Flipzone Tech Services Private Limited,Actively hiring,"Delhi, Ghaziabad, Gurgaon, Noida                                                            (Hybrid)",3 Months," 3,000-4,000 "
Creative Design,KinderArt Impex,Actively hiring,Delhi,2 Months," 10,000 "
Influencer Marketing,Social Dot Hub,Actively hiring,Delhi,6 Months," 10,000 "
Graphic Design,FootballGeek,Actively hiring,Navi Mumbai,3 Months," 7,500 "
Content Writing,Social Dot Hub,Actively hiring,Delhi,6 Months," 15,000 "
Business Development (Sales),RAJESH SINGLA,Actively hiring,Gurgaon                                                            (Hybrid),3 Months," 12,000  +  Incentives"
Graphic Design,Bootstrap Digital Solutions,Actively hiring,Pitampura,6 Months," 8,000-10,000 "
Social Media Marketing,Social Dot Hub,Actively hiring,Delhi,6 Months," 15,000 "
Business Development (Sales),Social Dot Hub,Actively hiring,Delhi,6 Months," 10,000 "
Operations,Internovo Ventures Private Limited,Actively hiring,Mumbai,6 Months," 5,000 "
E-Commerce,Image Media World,Actively hiring,Mumbai,6 Months," 5,000 "
Digital Marketing,Adventitous Solutions,Actively hiring,Gurgaon                                                            (Hybrid),6 Months," 7,000  +  Incentives"
Copywriting,Enseur,Actively hiring,Delhi,3 Months," 3,000-10,000 "
Content Writing,Klicksurge,Actively hiring,Noida,3 Months," 10,000 "
Influencer Marketing,Fabulous Media Private Limited,Actively hiring,Gurgaon,6 Months," 5,000-15,000 "
Marketing,Verve Stays,Actively hiring,Delhi                                                            (Hybrid),4 Months," 10,000 "
Human Resources (HR),Bonn Tonn,Actively hiring,Kolkata,3 Months," 7,500 "
Marketing,Anahad Pharma Private Limited,Actively hiring,Mumbai,3 Months," 5,000  +  Incentives"
Social Media Marketing,Hamsi Marketing Private Limited,Actively hiring,Hyderabad                                                            (Hybrid),4 Months," 8,000 "
Video Editing/Making,APTAGRIM CONSULTING PRIVATE LIMITED,Actively hiring,Hyderabad,3 Months," 15,000 "
Graphic Design,GoMechanic,Actively hiring,Gurgaon,3 Months," 10,000 "
